Time,Latitude, Longitute
8609612942,42.2753728,-71.8058892
8629384995,42.275364,-71.8058639
8650223971,42.2753545,-71.8058396
8669383049,42.2753454,-71.8058151
8690104008,42.2753365,-71.8057906
8709609986,42.2753365,-71.8057906
8729326010,42.2753277,-71.8057661
8749486924,42.275319,-71.8057414
8769616127,42.2753104,-71.8057173
8790023089,42.2753016,-71.8056929
8809492112,42.2753016,-71.8056929
8829612017,42.2752928,-71.8056688
8849640131,42.275284,-71.8056444
8870723963,42.275275,-71.8056202
8889635087,42.2752661,-71.8055961
8909461022,42.2752661,-71.8055961
8929493905,42.2752569,-71.8055721
8949674130,42.2752473,-71.8055482
8986357928,42.2752382,-71.8055243
8995911122,42.2752294,-71.8055
9009381056,42.2752294,-71.8055
9029685975,42.2752203,-71.8054759
9049890995,42.2752116,-71.8054515
9069724083,42.2752027,-71.8054272
9090311051,42.2751938,-71.8054029
9109543086,42.2751938,-71.8054029
9129780055,42.275185,-71.8053786
9149572134,42.2751763,-71.8053539
9169428111,42.2751675,-71.8053289
9190309048,42.2751585,-71.8053041
9209600926,42.2751585,-71.8053041
9229857922,42.2751496,-71.8052792
9249598980,42.2751404,-71.8052542
9269845009,42.275131,-71.8052293
9290297032,42.275122,-71.8052039
9309694052,42.275122,-71.8052039
9329572916,42.2751125,-71.8051786
9349801064,42.275103,-71.8051534
9370794058,42.2750931,-71.805128
9389780045,42.2750834,-71.8051024
9410058022,42.2750834,-71.8051024
9429767132,42.2750739,-71.8050762
9450654984,42.2750643,-71.80505
9470225096,42.275055,-71.8050234
9489560128,42.2750454,-71.804997
9509669066,42.2750454,-71.804997
9529529095,42.2750358,-71.8049702
9549637080,42.2750263,-71.8049435
9569970131,42.2750164,-71.8049166
9589596034,42.2750069,-71.8048894
9609547139,42.2750069,-71.8048894
9629717112,42.2749972,-71.8048622
9649503947,42.2749873,-71.8048346
9670377017,42.2749776,-71.8048073
9689804078,42.2749679,-71.8047797
9709523917,42.2749679,-71.8047797
9729561091,42.274958,-71.8047522
9749907017,42.2749481,-71.8047247
9769658089,42.2749381,-71.8046972
9789600134,42.2749279,-71.8046698
9809554100,42.2749279,-71.8046698
9829824925,42.2749179,-71.8046417
9850697041,42.2749078,-71.804614
9869734049,42.2748975,-71.8045868
9889746905,42.2748874,-71.8045596
9909656048,42.2748874,-71.8045596
9929773093,42.2748774,-71.8045321
9949443102,42.2748674,-71.8045044
9969550133,42.2748574,-71.8044771
9989548922,42.2748475,-71.8044502
10009500981,42.2748475,-71.8044502
10030228138,42.2748375,-71.8044236
10049614907,42.2748274,-71.8043973
10071182013,42.2748174,-71.8043716
10089589119,42.2748075,-71.804346
10109525919,42.2748075,-71.804346
10137994051,42.2747977,-71.8043206
10149397135,42.2747884,-71.8042953
10169440032,42.274779,-71.8042705
10189403058,42.2747698,-71.8042458
10209605933,42.2747698,-71.8042458
10230129004,42.2747606,-71.8042217
10249516011,42.2747513,-71.8041978
10269717932,42.2747422,-71.8041745
10289673090,42.2747329,-71.8041511
10309799910,42.2747329,-71.8041511
10330224038,42.2747238,-71.804128
10349718094,42.2747147,-71.8041051
10369552136,42.2747054,-71.8040825
10389516116,42.2746962,-71.8040596
10409518004,42.2746962,-71.8040596
10429843903,42.2746871,-71.8040371
10449820996,42.274678,-71.8040148
10469530106,42.2746687,-71.8039929
10489323140,42.2746596,-71.8039706
10509721041,42.2746596,-71.8039706
10529786110,42.2746506,-71.8039488
10549416066,42.2746417,-71.8039269
10569432021,42.2746332,-71.8039049
10589627982,42.274625,-71.8038833
10609998942,42.274625,-71.8038833
10630235911,42.2746172,-71.8038625
10649720908,42.27461,-71.8038431
10669325114,42.2746036,-71.8038249
10689572096,42.2745976,-71.8038086
